NAME,SEMEL,ENGLISH_NAME,DISTRICT,NAPA,NATURAL_ZONE,MUNICIPAL_STANCE,METROPOLITAN,RELIGION,POPULATION,OTHER,JEWS,ARAB,FOUNDED,TZURA,IRGUN,CENTER,ALTITUDE,PLANNING,POLICE,YEAR,TAATIK
באר שבע,9000,BE'ER SHEVA,6,62,623,0,310,1,207551,202.4,181,,1948,130,,1796357355,291,605,10001900,2017,Be'er Sheva
בארות יצחק,450,BE'EROT YIZHAQ,4,42,422,25,142,1,412,0.4,0.4,,1948,330,3,1916866088,52,424,10002116,2017,Be'erot Yizhaq
בארותיים,697,BE'EROTAYIM,4,41,412,16,141,1,1151,1.2,1.1,,1949,310,1,1986369200,35,409,15000060,2017,Be'erotayim
בארי,399,BE'ERI,6,62,622,38,,1,1018,1,1,,1946,330,15,1516259265,88,651,10001893,2017,Be'eri
בוסתן הגליל,559,BUSTAN HAGALIL,2,24,246,4,241,1,1257,1.3,1.2,,1948,310,10,2080476169,7,201,10004315,2017,Bustan HaGalil
בועיינה-נוג'ידאת,482,BU'EINE-NUJEIDAT,2,25,237,99,,2,9467,,,9.5,,280,,2348574594,215,251,10004552,2017,Bu'eine-Nujeidat
בוקעאתא,4001,BUQ'ATA,2,29,292,99,,2,6485,,,6.5,,280,,2730078971,1097,256,10004579,2017,Buq'ata
בורגתה,698,BURGETA,4,41,411,16,141,1,1118,1.1,1.1,,1949,310,1,1966969241,28,409,15000060,2017,Burgeta
בחן,2043,BAHAN,4,41,412,16,141,1,1008,1,1,,1953,330,15,2019669523,61,409,10002155,2017,Bahan
בטחה,762,BITHA,6,62,622,42,344,1,775,0.8,0.8,,1950,310,1,1650258264,120,651,10001893,2017,Bitha
"בי""ס אזורי מקיף (אשר)",1725, ,2,24,245,4,,,,,,,,520,,2144276829,,201,10004302,2017,
ביצרון,234,BIZZARON,6,61,611,33,143,1,1227,1.2,1.2,,1935,310,1,1744563381,55,616,10001821,2017,Bizzaron
ביר אל-מכסור,998,BIR EL-MAKSUR,2,24,241,99,241,2,9118,,,9.1,,280,,2211374310,249,261,10004497,2017,Bir El-Maksur
ביר הדאג',1348,BIR HADAGE,6,62,623,68,,2,5265,,,5.2,,280,,1714554846,287,624,10001918,2017,Bir Hadage
בירייה,368,BIRIYYA,2,21,212,2,,1,825,0.8,0.8,,1945,350,,2471076480,812,209,10004528,2017,Biriyya
בית אורן,317,BET OREN,3,32,322,15,223,1,470,0.5,0.4,,1939,330,15,2008573740,365,303,10004171,2017,Bet Oren
בית אל,3574,BET EL,7,74,,99,445,1,6101,6.1,6.1,,1977,180,,2212164987,853,711,10003299,2017,Bet El
בית אלעזרי,562,BET EL'AZARI,4,44,441,28,143,1,1543,1.5,1.5,,1948,310,1,1814763910,43,456,15002488,2017,Bet El'azari
בית אלפא,95,BET ALFA,2,23,232,8,,1,727,0.7,0.7,,1922,330,15,2407871368,-84,204,10004568,2017,Bet Alfa
בית אריה,3652,BET ARYE,7,74,,99,145,1,4955,5,4.8,,1981,190,,2048466000,295,719,10003299,2017,Bet Arye
בית ברל,1076,BET BERL,4,42,421,20,141,1,192,0.2,0.2,,1947,340,,1932267865,69,417,10002133,2017,Bet Berl
בית ג'ן,480,BEIT JANN,2,24,243,99,,2,11714,,,11.7,,270,,2357076326,898,258,10004465,2017,Beit Jann
בית גוברין,619,BET GUVRIN,6,61,612,35,,1,434,0.4,0.4,,1949,330,15,1901861345,267,632,10001813,2017,Bet Guvrin
בית גמליאל,571,BET GAMLI'EL,4,44,441,29,143,1,982,1,1,,1949,310,2,1775264049,30,456,15002488,2017,Bet Gamli'el
בית דגן,466,BET DAGAN,4,43,432,99,133,1,7143,7.1,7,,1948,180,,1840765643,34,455,10002207,2017,Bet Dagan
בית הגדי,723,BET HAGADDI,6,62,621,39,,1,793,0.8,0.8,,1949,310,2,1626059275,148,651,10001930,2017,Bet HaGaddi
בית הלוי,373,BET HALEWI,4,41,411,16,141,1,813,0.8,0.8,,1945,310,1,1937569557,18,409,15000060,2017,Bet HaLewi
בית הלל,322,BET HILLEL,2,21,211,55,,1,799,0.8,0.8,,1940,310,1,2568779040,87,253,10004591,2017,Bet Hillel
בית העמק,572,BET HAEMEQ,2,24,245,4,,1,552,0.6,0.5,,1949,330,15,2139376350,47,201,10004302,2017,Bet HaEmeq
בית הערבה,3645,BET HAARAVA,7,75,,74,,1,222,0.2,0.2,,1980,330,15,2452263505,-315,713,10003314,2017,Bet HaArava
בית השיטה,242,BET HASHITTA,2,23,232,8,,1,1251,1.3,1.2,,1935,330,15,2414771748,-1,204,10004568,2017,Bet HaShitta
בית זיד,353,BET ZEID,2,23,235,9,,1,82,0.1,0.1,,1943,350,,2110773411,108,254,10004207,2017,Bet Zeid
בית זית,710,BET ZAYIT,1,11,111,26,444,1,1694,1.7,1.7,,1949,310,1,2154163215,604,151,10002475,2017,Bet Zayit
בית זרע,143,BET ZERA,2,22,221,6,,1,577,0.6,0.6,,1926,330,15,2540573277,-200,214,10004552,2017,Bet Zera
בית חולים פוריה,1712, ,2,22,221,6,,,,,,,,520,,2509473984,,214,10004552,2017,
בית חורון,3575,BET HORON,7,74,,73,445,1,1274,1.3,1.3,,1977,370,11,2121064280,635,711,10003299,2017,Bet Horon
בית חירות,877,BET HERUT,4,41,411,16,141,1,897,0.9,0.9,,1933,320,1,1878069842,19,409,15000060,2017,Bet Herut
בית חלקיה,2033,BET HILQIYYA,4,44,441,31,143,1,1176,1.2,1.2,,1953,310,8,1822663335,67,456,15002488,2017,Bet Hilqiyya
בית חנן,159,BET HANAN,4,44,442,27,143,1,575,0.6,0.6,,1930,310,1,1786964903,39,456,15002488,2017,Bet Hanan
בית חנניה,800,BET HANANYA,3,32,324,15,,1,902,0.9,0.9,,1950,310,1,1932871493,10,303,10004333,2017,Bet Hananya
בית חשמונאי,1050,BET HASHMONAY,4,43,432,30,143,1,2195,2.2,2.2,,1972,190,,1924564399,102,426,10002228,2017,Bet Hashmonay
בית יהושע,288,BET YEHOSHUA,4,41,411,19,141,1,1076,1.1,1.1,,1938,310,6,1875268523,23,401,15000060,2017,Bet Yehoshua
בית יוסף,265,BET YOSEF,2,23,231,7,,1,440,0.4,0.4,,1937,310,1,2520671839,-228,202,10004568,2017,Bet Yosef
בית ינאי,200,BET YANNAY,4,41,411,16,141,1,404,0.4,0.4,,1933,310,10,1873769865,16,409,15000060,2017,Bet Yannay
בית יצחק-שער חפר,326,BET YIZHAQ-SH. HEFER,4,41,411,16,141,1,2112,2.1,2.1,,1940,191,,1899269340,27,409,15000060,2017,Bet Yizhaq-Sh. Hefer
בית לחם הגלילית,430,BET LEHEM HAGELILIT,2,23,237,9,242,1,788,0.8,0.8,,1948,310,1,2181773782,161,254,10004411,2017,Bet Lehem HaGelilit 
בית מאיר,751,BET ME'IR,1,11,111,26,444,1,778,0.8,0.8,,1950,310,2,2035763349,576,151,15000597,2017,Bet Me'ir
בית נחמיה,784,BET NEHEMYA,4,43,432,25,142,1,887,0.9,0.9,,1950,310,6,1958765375,82,424,10002168,2017,Bet Nehemya
בית ניר,16,BET NIR,6,61,612,35,,1,590,0.6,0.6,,1955,330,15,1880461729,241,632,10001813,2017,Bet Nir
בית נקופה,672,BET NEQOFA,1,11,111,26,444,1,690,0.7,0.7,,1949,310,1,2120263464,662,151,10002475,2017,Bet Neqofa
בית עובד,202,BET OVED,4,44,442,27,143,1,278,0.3,0.3,,1933,310,1,1787064773,31,456,15002488,2017,Bet Oved
בית עוזיאל,301,BET UZZI'EL,4,43,432,30,143,1,623,0.6,0.6,,1956,310,2,1911464200,128,426,10002228,2017,Bet Uzzi'el
בית עזרא,756,BET EZRA,6,61,611,33,143,1,1125,1.1,1.1,,1950,310,1,1674262732,44,616,10001821,2017,Bet Ezra
בית עריף,604,BET ARIF,4,43,432,25,142,1,1120,1.1,1.1,,1951,310,1,1939465589,60,424,10002168,2017,Bet Arif
בית צבי,212,BET ZEVI,3,32,321,15,223,1,273,0.3,0.3,,1953,340,,1974573615,46,303,10004333,2017,Bet Zevi
בית קמה,598,BET QAMA,6,62,621,41,341,1,1445,1.4,1.4,,1949,330,15,1773459523,238,625,10001946,2017,Bet Qama
בית קשת,365,BET QESHET,2,22,222,3,,1,648,0.6,0.6,,1944,330,15,2372073606,191,206,10004552,2017,Bet Qeshet
בית רבן,848,BET RABBAN,4,44,441,29,143,1,1222,1.2,1.2,,1946,340,,1744863615,54,456,10001821,2017,Bet Rabban 
בית רימון,1162,BET RIMMON,2,23,237,3,,1,684,0.7,0.7,,1977,330,3,2310774302,396,206,15002369,2017,Bet Rimmon
בית שאן,9200,BET SHE'AN,2,23,231,0,,1,17704,17.6,17.2,,1948,170,,2469871134,-134,203,10004568,2017,Bet She'an 
בית שמש,2610,BET SHEMESH,1,11,112,0,444,1,114371,114.2,112.2,,1950,140,,1990162679,307,102,10002507,2017,Bet Shemesh
בית שערים,248,BET SHE'ARIM,2,23,235,9,,1,749,0.7,0.7,,1936,310,1,2169973357,74,254,10004411,2017,Bet She'arim 
בית שקמה,747,BET SHIQMA,6,61,614,36,,1,876,0.9,0.9,,1950,310,1,1628461632,53,633,10001829,2017,Bet Shiqma
ביתן אהרן,252,BITAN AHARON,4,41,411,16,141,1,376,0.4,0.4,,1936,310,10,1879969688,26,409,15000060,2017,Bitan Aharon
ביתר עילית,3780,BETAR ILLIT,7,76,,0,445,1,54557,54.6,54.5,,1985,150,,2107362248,703,716,15000586,2017,Betar Illit
בלפוריה,94,BALFURYA,2,23,234,9,,1,491,0.5,0.5,,1922,310,1,2280872620,87,254,10000911,2017,Balfurya
בן זכאי,760,BEN ZAKKAY,4,44,441,29,143,1,1078,1.1,1.1,,1950,310,2,1744464051,30,456,15002488,2017,Ben Zakkay
בן עמי,712,BEN AMMI,2,24,245,4,,1,776,0.8,0.8,,1949,310,1,2119076783,28,201,10004302,2017,Ben Ammi
בן שמן (כפר נוער),1084,BEN SHEMEN(K.NO'AR),4,43,432,25,142,1,630,0.6,0.6,,1921,340,,1932665185,69,424,10002261,2017,Ben Shemen(K.No'ar)
בן שמן (מושב),2013,BEN SHEMEN (MOSHAV),4,43,432,25,142,1,862,0.9,0.9,,1952,310,1,1928365110,65,424,10002261,2017,Ben Shemen (Moshav)
בני ברק,6100,BENE BERAQ,5,52,512,0,122,1,193774,193.7,192.3,,1924,140,,1845566599,26,501,10001473,2017,Bene Beraq
בני דקלים,1368,BNE DEQALIM,6,61,612,50,,1,884,0.9,0.9,,2009,370,11,1924160284,388,634,10001813,2017,Bne Dkalim
בני דרום,592,BENE DAROM,4,44,441,29,143,1,780,0.8,0.8,,1949,320,2,1709663655,32,456,10001836,2017,Bene Darom
בני דרור,386,BENE DEROR,4,41,411,18,141,1,1224,1.2,1.2,,1946,320,1,1907168542,33,412,15000060,2017,Bene Deror
בני יהודה,4015,BENE YEHUDA,2,29,294,71,,1,1049,1,0.9,,1972,370,13,2648874494,345,219,10004579,2017,Bene Yehuda
בני נצרים,1363,BNE NETSARIM,6,62,622,38,,1,671,0.7,0.7,,2010,310,11,1346156141,99,651,10001893,2017,Bne Netsarim
בני עטרות,448,BENE ATAROT,4,42,422,25,142,1,972,1,1,,1948,310,1,1920265901,52,424,10002116,2017,Bene Atarot
"בני עי""ש",1066,BENE AYISH,4,44,441,99,143,1,6998,7,5.6,,1958,180,,1774163308,75,453,10001821,2017,Bene Ayish
בני ציון,418,BENE ZIYYON,4,41,411,19,141,1,1401,1.4,1.4,,1947,310,10,1877968066,35,401,15000060,2017,Bene Ziyyon
בני ראם,588,BENE RE'EM,4,44,441,31,143,1,1356,1.3,1.3,,1949,310,8,1803363100,64,456,15002488,2017,Bene Re'em
בניה,685,BENAYA,4,44,441,28,143,1,805,0.8,0.8,,1949,310,1,1767263907,35,456,15002488,2017,Benaya
בנימינה-גבעת עדה*,9800,BINYAMINA-GIV'AT ADA,3,32,324,99,,1,15634,15.6,15.1,,1903,170,,1967571417,36,353,10004333,2017,Binyamina-Giv'at Ada
"בסמ""ה",1326,BASMA,3,32,323,99,,2,9536,,,9.5,,280,,2100771513,239,354,10004233,2017,Basma
בסמת טבעון,944,BASMAT TAB'UN,2,23,237,99,242,2,7735,,,7.7,,280,,2148073835,189,257,10004207,2017,Basmat Tab'un
בענה,483,BI'NE,2,24,242,99,,2,8110,,,8.1,,280,,2258875935,259,260,15002358,2017,Bi'ne
בצרה,389,BAZRA,4,41,411,19,141,1,1188,1.2,1.2,,1946,310,10,1886968001,26,401,15000060,2017,Bazra
בצת,589,BEZET,2,24,245,4,,1,263,0.3,0.3,,1949,310,1,2129677511,29,201,10004302,2017,Bezet
בקוע,864,BEQOA,1,11,112,26,,1,724,0.7,0.7,,1951,310,1,1930663736,150,151,15000597,2017,Beqoa
בקעות,3612,BEQA'OT,7,75,,75,,1,184,0.2,0.2,,1972,310,10,2428968327,72,712,10003262,2017,Beqa'ot
"בקעת נטופה מ""א 56",1854,,2,24,241,56,,,,,,,,530,,2546075680,,,,2017,
"בקעת תירען מ""א 3",1884,,2,23,237,3,,,,,,,,530,,2334074370,,,,2017,
בר-לב,1728, ,2,24,246,4,241,,,,,,,520,,2184675665,,201,10004315,2017,
בר גיורא,823,BAR GIYYORA,1,11,111,26,444,1,670,0.7,0.7,,1950,310,9,2069462636,699,151,15000597,2017,Bar Giyyora
בר יוחאי,1191,BAR YOHAY,2,21,212,2,,1,1015,1,1,,1979,370,2,2422976699,713,209,10004528,2017,Bar Yohay
ברוכין,3744,BRUKHIN,7,73,,72,,1,919,0.9,0.9,,2012,370,2,2086566533,391,710,10003262,2017,Brukhin
ברור חיל,428,BEROR HAYIL,6,61,614,37,,1,955,1,0.9,,1948,330,15,1665260743,75,651,10001829,2017,Beror Hayil
ברוש,2060,BEROSH,6,62,621,41,344,1,483,0.5,0.5,,1953,310,1,1650558666,129,625,10001893,2017,Berosh
ברכה,3710,BERAKHA,7,72,,72,,1,2468,2.5,2.1,,1983,190,,2251867768,844,710,10003262,2017,Berakha
ברכיה,746,BEREKHYA,6,61,614,36,,1,1212,1.2,1.2,,1950,310,1,1645461979,43,633,10001821,2017,Berekhya
ברעם,667,BAR'AM,2,21,212,1,,1,585,0.6,0.5,,1949,330,15,2408677373,736,253,10004528,2017,Bar'am
ברק,141,BARAQ,2,23,234,8,,1,423,0.4,0.4,,1956,310,1,2251371651,72,204,10000911,2017,Baraq
ברקאי,617,BARQAY,3,32,324,14,,1,559,0.6,0.5,,1949,330,15,2029770901,65,351,15002436,2017,Barqay
ברקן,3654,BARQAN,7,73,,72,145,1,1825,1.8,1.7,,1981,370,9,2101566821,432,710,10003262,2017,Barqan
ברקת,2038,BAREQET,4,42,422,25,142,1,1968,2,2,,1952,310,2,1948865814,82,424,10002168,2017,Bareqet
בת הדר,1323,BAT HADAR,6,61,614,36,,1,767,0.8,0.7,,1995,350,,1618161736,58,633,10001829,2017,Bat Hadar
בת חן,1361,BAT HEN,4,41,411,16,141,1,407,0.4,0.4,,1967,350,,1881869630,34,409,15000060,2017,Bat Hen
בת חפר,1319,BAT HEFER,4,41,412,16,141,1,5445,5.4,5.4,,1996,180,,2014969329,57,409,10002155,2017,Bat Hefer
בת ים,6200,BAT YAM,5,53,513,0,123,1,128655,127.9,103.3,,1926,140,,1765165858,23,502,10001430,2017,Bat Yam
בת עין,3794,BAT AYIN,7,76,,76,445,1,1428,1.4,1.4,,1989,370,11,2096361842,810,714,15000586,2017,Bat Ayin
בת שלמה,33,BAT SHELOMO,3,32,322,15,243,1,647,0.6,0.6,,1889,310,7,2005972291,92,303,10004333,2017,Bat Shelomo
בתי זיקוק - קישון,1736, ,3,31,311,,210,,,,,,,520,,2057074450,,,10004207,2017,
ג'דיידה-מכר,1292,JUDEIDE-MAKER,2,24,246,99,241,2,20613,,,20.6,,260,,2140675939,38,252,10004315,2017,Judeide-Maker
ג'ולס,485,JULIS,2,24,243,99,,2,6273,,,6.3,,280,,2174976079,110,252,10004315,2017,Julis
ג'לג'וליה,627,JALJULYE,4,42,421,99,142,2,9836,,,9.7,,280,,1957367322,37,451,10002155,2017,Jaljulye
ג'נאביב (שבט),976,JUNNABIB,6,62,623,,,3,,,,,,460,,2030056900,0,699,10001937,2017,Janabib
ג'סר א-זרקא,541,JISR AZ-ZARQA,3,32,324,99,,2,14438,,,14.4,,270,,1919771586,11,353,10004333,2017,Jisr Az-Zarqa
ג'ש (גוש חלב),487,JISH(GUSH HALAV),2,21,212,99,,2,3085,,,3.1,,290,,2420276976,745,258,10004528,2017,Jish(Gush Halav)
ג'ת,628,JATT,3,32,324,99,,2,11644,,,11.6,,270,,2036070063,57,354,15002436,2017,Jatt                                              
גאולי תימן,872,GE'ULE TEMAN,4,41,411,16,141,1,365,0.3,0.3,,1947,310,2,1909769986,14,409,15000060,2017,Ge'ule Teman
גאולים,379,GE'ULIM,4,41,411,18,141,1,943,0.9,0.9,,1945,310,1,1950268938,56,412,15000060,2017,Ge'ulim
"גאון הירדן מ""א 3",1963,,2,22,222,3,,,,,,,,530,,,,,,2017,
גאליה,853,GE'ALYA,4,44,442,27,143,1,990,1,1,,1948,310,1,1779264365,22,456,15002488,2017,Ge'alya
גבולות,352,GEVULOT,6,62,622,38,,1,345,0.3,0.3,,1943,330,15,1490356905,131,651,10001893,2017,Gevulot
גבים,424,GEVIM,6,61,614,37,,1,597,0.6,0.6,,1947,330,15,1618560187,116,651,10001829,2017,Gevim
גבע,86,GEVA,2,23,232,8,,1,624,0.6,0.6,,1921,330,15,2351971912,13,204,10000911,2017,Geva
גבע בנימין,3763,GEVA BINYAMIN,7,74,,73,445,1,5409,5.4,5.3,,1984,180,,2260763967,638,711,10003299,2017,Geva Binyamin
גבע כרמל,683,GEVA  KARMEL,3,32,321,15,243,1,1200,1.2,1.2,,1949,310,1,1960272983,22,303,10004333,2017,Geva  Karmel
גבעולים,2014,GIV'OLIM,6,62,621,39,,1,340,0.3,0.3,,1952,310,2,1611658959,121,651,10001930,2017,Giv'olim
גבעון החדשה,3644,GIV'ON HAHADASHA,7,74,,73,445,1,1139,1.1,1,,1980,370,11,2150863946,795,711,10002489,2017,Giv'on HaHadasha
גבעות בר,1344,GEVA'OT BAR,6,62,623,41,341,1,1024,1,1,,2004,370,19,1768358505,229,625,10001946,2017,Geva'ot Bar
גבעת אבני,1293,GIV'AT AVNI,2,22,222,3,,1,1991,2,2,,1991,370,,2414274234,282,206,10004552,2017,Giv'at Avni
גבעת אלה,1288,GIV'AT ELA,2,23,237,9,,1,1947,1.9,1.9,,1988,370,13,2232873633,262,254,10004411,2017,Giv'at Ela
גבעת ברנר,147,GIV'AT BRENNER,4,44,441,28,143,1,2669,2.7,2.6,,1928,193,,1813164156,59,456,15002488,2017,Giv'at Brenner
גבעת השלושה,870,GIV'AT HASHELOSHA,4,42,422,20,142,1,816,0.8,0.8,,1925,330,15,1927366719,30,417,10002116,2017,Giv'at HaShelosha
גבעת זאב,3730,GIV'AT ZE'EV,7,74,,99,445,1,17323,17.3,17.1,,1983,170,,2159264036,731,705,10002489,2017,Giv'at Ze'ev
"גבעת ח""ן",207,GIV'AT HEN,4,42,421,20,131,1,355,0.4,0.4,,1933,310,1,1883167498,61,417,10002133,2017,Giv'at Hen
גבעת חביבה,1740, ,3,32,324,14,,,,,,,,520,,2022970711,,351,15002436,2017,
גבעת חיים (איחוד),2018,GIV'AT HAYYIM (IHUD),4,41,411,16,141,1,1088,1.1,1.1,,1932,330,15,1938370064,22,409,15000060,2017,Giv'at Hayyim (Ihud)
גבעת חיים (מאוחד),173,GIV'AT HAYYIM(ME'UHAD),4,41,411,16,141,1,990,1,1,,1932,330,15,1937069975,20,409,15000060,2017,Giv'at Hayyim(Me'uhad)
גבעת יואב,4021,GIV'AT YO'AV,2,29,294,71,,1,690,0.7,0.7,,1968,310,1,2641674503,312,219,10004579,2017,Giv'at Yo'av
גבעת יערים,787,GIV'AT YE'ARIM,1,11,111,26,444,1,1467,1.5,1.4,,1950,310,1,2088063269,694,151,15000597,2017,Giv'at Ye'arim
גבעת ישעיהו,919,GIV'AT YESHA'YAHU,1,11,112,26,444,1,846,0.8,0.8,,1958,310,6,1948961988,299,151,15000597,2017,Giv'at Yesha'yahu
"גבעת כ""ח",802,GIV'AT KOAH,4,42,422,25,142,1,911,0.9,0.9,,1950,310,1,1940765983,69,424,10002168,2017,Giv'at Koah
"גבעת ניל""י",360,GIV'AT NILI,3,32,323,45,,1,760,0.8,0.8,,1953,310,9,2041471707,136,351,10004233,2017,Giv'at Nili
גבעת עוז,703,GIV'AT OZ,2,23,234,13,,1,487,0.5,0.5,,1949,330,15,2189071785,113,254,10004249,2017,Giv'at Oz
גבעת שמואל,681,GIV'AT SHEMU'EL,4,42,422,0,132,1,25776,25.7,25.4,,1942,160,,1860266489,48,427,10001516,2017,Giv'at Shemu'el
גבעת שמש,566,GIV'AT SHEMESH,1,11,112,26,444,1,86,0.1,0.1,,1954,340,,1955163138,256,151,15000597,2017,Giv'at Shemesh
גבעת שפירא,1077,GIV'AT SHAPPIRA,4,41,411,16,141,1,414,0.4,0.4,,1958,310,10,1886069600,37,409,15000060,2017,Giv'at Shappira
גבעתי,793,GIV'ATI,6,61,611,33,143,1,1002,1,1,,1950,310,1,1698062683,37,616,10001821,2017,Giv'ati
גבעתיים,6300,GIV'ATAYIM,5,52,512,0,122,1,59518,59.5,57.6,,1922,150,,1822066430,42,503,10001533,2017,Giv'atayim
גברעם,342,GEVAR'AM,6,61,614,36,,1,457,0.5,0.4,,1942,330,15,1632461117,87,633,10001829,2017,Gevar'am
גבת,133,GEVAT,2,23,234,9,,1,908,0.9,0.9,,1926,330,15,2202173114,93,254,10004411,2017,Gevat
גדות,35,GADOT,2,21,213,1,,1,421,0.4,0.4,,1949,330,15,2582276940,115,253,10004540,2017,Gadot
גדיש,145,GADISH,2,23,234,8,,1,384,0.4,0.4,,1956,310,1,2232471829,66,204,10000911,2017,Gadish
גדעונה,442,GID'ONA,2,23,232,8,,1,446,0.4,0.4,,1949,350,,2339371720,-9,204,10000911,2017,Gid'ona
גדרה,2550,GEDERA,4,44,441,99,143,1,27498,27.4,26.8,,1884,160,,1792663563,57,453,15002488,2017,Gedera
"גולן דרומי מ""א 71",1966,,2,29,294,71,,,,,,,,530,,2704074680,,,,2017,
"גולן צפוני מ""א 71",1962,,2,29,292,71,,,,,,,,530,,2709077860,,,,2017,
"גולן תיכון מ""א 71",1964,,2,29,293,71,,,,,,,,530,,2670076100,,,,2017,
גונן,852,GONEN,2,21,211,1,,1,354,0.4,0.3,,1951,330,15,2607478109,90,253,10004591,2017,Gonen
גורן,755,GOREN,2,24,244,52,,1,426,0.4,0.4,,1950,310,1,2224377349,368,255,10004302,2017,Goren
גורנות הגליל,1219,GORNOT HAGALIL,2,24,244,52,,1,181,0.2,0.2,,1980,350,,2236377386,394,255,10004302,2017,Gornot HaGalil
גזית,457,GAZIT,2,23,233,9,,1,702,0.7,0.7,,1948,330,15,2422172720,129,254,10000911,2017,Gazit
גזר,370,GEZER,4,43,432,30,143,1,274,0.3,0.3,,1945,330,15,1925264268,122,426,10002228,2017,Gezer
גיאה,706,GE'A,6,61,614,36,,1,973,1,1,,1949,310,1,1624261519,54,633,10001829,2017,Ge'a
גיבתון,196,GIBBETON,4,44,441,28,143,1,347,0.3,0.3,,1933,350,,1811964406,42,456,10002241,2017,Gibbeton
גיזו,1043,GIZO,1,11,112,26,,1,210,0.2,0.2,,1968,350,,1943163471,196,151,15000597,2017,Gizo
גילון,1204,GILON,2,24,242,56,241,1,1040,1,1,,1980,370,9,2224875646,302,205,10004465,2017,Gilon
גילת,736,GILAT,6,62,622,42,344,1,1411,1.4,1.4,,1949,310,1,1668758193,136,651,10001893,2017,Gilat
גינוסר,262,GINNOSAR,2,22,221,6,,1,592,0.6,0.6,,1937,330,15,2493075035,-203,214,10004552,2017,Ginnosar
גיניגר,92,GINNEGAR,2,23,234,9,,1,680,0.7,0.7,,1922,330,15,2244572993,107,254,10004411,2017,Ginnegar
גינתון,863,GINNATON,4,43,432,25,142,1,903,0.9,0.9,,1949,310,1,1919965223,57,424,10002261,2017,Ginnaton
גיתה,1206,GITTA,2,24,243,52,,1,289,0.3,0.3,,1980,370,13,2236176356,430,255,10004484,2017,Gitta
גיתית,3613,GITTIT,7,75,,75,,1,457,0.5,0.5,,1973,310,9,2375966764,309,712,10003262,2017,Gittit
גלאון,393,GAL'ON,6,61,611,35,,1,434,0.4,0.4,,1946,330,15,1856261577,199,632,10001813,2017,Gal'on
גלגל,3606,GILGAL,7,75,,75,,1,180,0.2,0.2,,1970,330,15,2424165627,-249,712,10003262,2017,Gilgal
גליל ים,346,GELIL YAM,5,51,511,19,121,1,500,0.5,0.5,,1943,330,15,1842067381,44,401,10001605,2017,Gelil Yam
"גליל עליון מז מ""א 1",1809,,2,21,212,1,,,,,,,,530,,2362077180,,,,2017,
"גליל עליון מז מ""א 2",1811,,2,21,212,2,,,,,,,,530,,2438076690,,,,2017,
"גליל עליון מז מ""א 55",1810,,2,21,212,55,,,,,,,,530,,2508077340,,,,2017,
"גליל עליון מז של""ש",1812,,2,21,212,,,,,,,,,530,,2385076890,,,,2017,
"גליל תחתון מז מ""א 2",1820,,2,22,222,2,,,,,,,,530,,2419075400,,,,2017,
"גליל תחתון מז מ""א 3",1819,,2,22,222,3,,,,,,,,530,,2426074060,,,,2017,
"גליל תחתון מז מ""א 6",1821,,2,22,222,6,,,,,,,,530,,2484072760,,,,2017,
"גליל תחתון מז של""ש",1822,,2,22,222,,,,,,,,,530,,2416075000,,,,2017,
גלעד (אבן יצחק),369,GAL'ED (EVEN YIZHAQ),2,23,236,13,,1,485,0.5,0.5,,1945,330,15,2074471810,185,254,10000911,2017,Gal'ed (Even Yizhaq)
"גמ""ל מחוז דרום",1997,,6,62,623,,,,,,,,,530,,,,,,2017,
גמזו,745,GIMZO,4,43,431,25,142,1,1201,1.2,1.2,,1950,310,8,1945464834,105,424,10002261,2017,Gimzo
גן הדרום,1072,GAN HADAROM,4,44,441,32,143,1,599,0.6,0.6,,1953,310,10,1717763475,39,456,10001821,2017,Gan HaDarom
גן השומרון,225,GAN HASHOMERON,3,32,324,14,,1,822,0.8,0.8,,1934,310,10,2000870764,44,351,10004261,2017,Gan HaShomeron
גן חיים,239,GAN HAYYIM,4,42,421,20,141,1,823,0.8,0.8,,1935,310,1,1912767799,60,417,10002133,2017,Gan Hayyim
גן יאשיה,734,GAN YOSHIYYA,4,41,412,16,141,1,982,1,1,,1949,310,1,1996469519,32,409,15000060,2017,Gan Yoshiyya
גן יבנה,166,GAN YAVNE,4,44,441,99,143,1,23531,23.5,22.7,,1931,160,,1724763297,39,453,10001821,2017,Gan Yavne
גן נר,1274,GAN NER,2,23,232,8,,1,2700,2.7,2.6,,1987,190,,2319971531,159,204,10000911,2017,Gan Ner
גן שורק,311,GAN SOREQ,4,44,442,27,143,1,701,0.7,0.7,,1950,310,1,1775365029,37,456,15002488,2017,Gan Soreq
גן שלמה,144,GAN SHELOMO,4,44,441,28,143,1,550,0.6,0.5,,1927,330,15,1810864289,45,456,15002488,2017,Gan Shelomo
גן שמואל,72,GAN SHEMU'EL,3,32,324,14,,1,905,0.9,0.9,,1913,330,15,1955970650,26,351,10004261,2017,Gan Shemu'el
גנות,836,GANNOT,4,43,432,40,133,1,616,0.6,0.6,,1953,310,10,1839465836,27,425,10002207,2017,Gannot
גנות הדר,549,GANNOT HADAR,4,41,411,18,141,1,956,1,0.9,,1964,350,,1908469191,49,412,15000060,2017,Gannot Hadar
גני הדר,1103,GANNE HADAR,4,43,432,30,143,1,302,0.3,0.3,,1958,350,,1862764289,89,426,10002241,2017,Ganne Hadar
