zomet,kvish1,kvish2,KM,SHEM_ZOMET
8066,20,0,119,מחלף חולון
8067,4,23,2110,מחלף גשר פז
8067,23,4,55,מחלף גשר פז
8068,4,0,2117,מחלף גדוד 21
8075,20,0,131,מחלף חיל השריון
8076,20,0,128,כניסה לתיכון הולץ
8079,77,0,780,יישוב טבריה שד' ספיר
9064,651,0,60,כניסה לאזור תעשייה צפון
9073,5504,0,16,כניסה לניר אליהו
9088,44,0,388,צומת
9109,3922,0,2,כניסה לאזור תעשייה כנות (צפון)
9110,3922,0,5,כניסה לאזור תעשייה כנות (דרום)
9130,4,0,1598,יישוב חדרה רח שד החרות
9140,700,0,260,כניסה לכוכב הצפון
9158,310,25,0,צומת אשל הנשיא
9158,25,310,1938,צומת אשל הנשיא
9172,431,0,420,כניסה למודיעין-מכבים-רעות
9216,60,0,685,כניסה לאפרת (צפון)
9231,4872,0,10,כניסה לאפק
9232,450,465,195,צומת חלמיש
9232,465,450,223,צומת חלמיש
9240,781,0,168,כניסה למצפה אביב
9331,505,0,765,כניסה לפצאל
9333,42,411,959,צומת רחובות מערב
9333,411,42,0,צומת רחובות מערב
9378,20,431,20,מחלף מבוא איילון
9378,431,20,95,מחלף מבוא איילון
9388,6,40,670,מחלף מאחז
9388,40,6,2160,מחלף מאחז
9405,1,0,760,כניסה למעלה אדומים (נופי הסלע)
9419,44,0,250,כניסה לרמלה רח שמואל תמיר
9440,5615,9336,28,כניסה לאבני חפץ
9440,9336,5615,0,כניסה לאבני חפץ
9441,9336,0,5,שער יישוב אבני חפץ
9456,66,722,335,"צומת אזור תעשיות ית""ם"
9456,722,66,3,"צומת אזור תעשיות ית""ם"
9470,70,66,335,צומת התשבי (צפוני)
9470,66,70,340,צומת התשבי (צפוני)
9471,596,611,38,צומת למעבר ריחן
9471,611,596,0,צומת למעבר ריחן
9615,412,0,16,כניסה לרחובות דרך הפרדסים
9616,80,316,2110,צומת הר עמשא
9616,316,80,246,צומת הר עמשא
9619,60,466,1051,צומת גבעת אסף
9619,466,60,0,צומת גבעת אסף
9669,65,0,255,כניסה למועאוויה
9674,4313,44,74,צומת ניר צבי
9674,44,4313,276,צומת ניר צבי
9688,70,0,314,כניסה ליקנעם אוסם
9700,461,0,66,צומת נ סביון המיסדים (יגאל אלו
9728,241,0,210,כניסה לגילת (מזרח)
9730,444,0,220,כניסה לראש העין רח מרץ
9736,79,22,8,מחלף ביאליק
9736,22,79,125,מחלף ביאליק
9737,4311,42,0,צומת אזור תעשייה
9737,42,4311,1026,צומת אזור תעשייה
9756,22,781,86,מחלף אתא צפון
9756,781,22,34,מחלף אתא צפון
9802,4313,0,20,"כניסה לראשל""צ רח זלמן שז""ר"
9828,398,0,38,כניסה לצור באהר
9840,4311,0,10,כניסה לראשון לציון רח המדע
9877,1,0,772,כניסה לשד החברה הכלכלית
9883,886,0,444,כניסנ לפארק תעשיות דלתון
9911,22,0,50,כניסה לרכבת חוצות המפרץ
9913,356,0,3,כניסה לנוקדים
9916,1,0,842,כניסה למצפה יריחו
9943,4,0,2140,כניסה לקניון לב המפרץ
9953,60,0,1277,כניסה למעלה לבונה
9959,578,0,205,כניסה לרותם
9986,4,9,1562,צומת יער חדרה
9986,9,4,22,צומת יער חדרה
9989,22,772,67,מחלף אתא דרום
9989,772,22,60,מחלף אתא דרום
9999,70,772,437,צומת דשנים
9999,772,70,0,צומת דשנים
10024,436,0,22,צומת לגבעונים
10033,25,0,2120,כניסה לנתיבות מערב
10035,31,0,164,כניסה לתחנת דלק (מיתר)
10037,4,0,2404,כניסה להמייסדים
10060,899,8990,33,צומת שלומי
10060,8990,899,0,צומת שלומי
10091,60,557,1600,צומת לשבי שומרון
10091,557,60,320,צומת לשבי שומרון
10145,4,0,1748,כניסה למרכז הקניות בנימינה
10161,434,0,10,כניסה לרמלה רח מבוא ביתר
